id,arousal_sd,conf_sd,n_trials,has_questionnaire,flag_zero_arousal,flag_zero_conf,flag_zero_variance,excluded,exclusion_reason
11668,0.9001424388708769,0.9250779592927456,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11695,0.563300712149108,0.7828285334736547,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11851,0.9001424388708769,0.8711913446392583,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11863,0.2667467828369185,0.5767948575466911,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11896,0.8378084965689216,1.3394889955616542,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11914,0.505736325340815,0.6222374845503019,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11920,1.3349349355123201,0.4414428557263045,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11956,0.957761813974483,0.5970010522689692,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11962,0.3349320635285418,0.5304811555656397,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11974,0.9660917830792959,0.9660917830792959,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11992,0.44649633185388476,0.5304811555656397,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
11998,1.0753651735156093,1.5256356388614232,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12031,0.9996794357987836,1.4212219372328148,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12040,0.7675301714607473,0.8161039400870707,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12043,1.1810469062961872,0.7472170590486632,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12088,0.4640954808922571,0.3616202853397895,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12097,0.552384110133705,0.6793662204867574,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12118,0.552384110133705,1.338770963349479,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12133,0.8458041235325207,1.0848608560193684,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12136,0,0,40,TRUE,TRUE,TRUE,TRUE,FALSE,zero_variance_flagged_retained
12142,0.7156671622894871,1.0951524890895215,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12184,1.3728129459672882,1.7386997794550165,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12220,0.7156671622894871,0.9594335935919799,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12232,0,0.8101914936669333,40,TRUE,TRUE,FALSE,TRUE,FALSE,zero_variance_flagged_retained
12247,0.44649633185388476,0.8378084965689216,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12268,0.9333562268254528,1.127738831376694,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12274,1.1067971810589328,0.22072142786315224,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12283,0.4961389383568338,1.1668498024760776,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12286,0.5006406152531231,0.563869415688347,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12289,1.1322770341445958,1.4884168150705015,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12292,0,0.6621642835894567,40,TRUE,TRUE,FALSE,TRUE,FALSE,zero_variance_flagged_retained
12298,0.627877989127481,0.7510676161988108,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12307,0.4640954808922571,0.48304589153964794,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12319,1.1477402547212903,0.7828285334736547,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12322,0.3499084129252931,0.7120753345337009,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
12325,1.2986679566149546,0.7510676161988108,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
3391,0.7828285334736547,0.6324555320336759,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
3742,0.5905234531480936,1.0753651735156093,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
3850,0.2761920550668525,0.7578647467450734,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
3874,1.0738738884082841,1.131144190405087,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
3955,0.7578647467450734,0.9604352645732546,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
3976,1.098950548337962,1.3584965294445255,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4105,0.4902903378454601,0.505736325340815,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4132,0.22072142786315224,1.126601424298216,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4207,1.2947131154360225,0.5905234531480936,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
4306,0.552384110133705,0.9841695705465312,40,TRUE,FALSE,FALSE,FALSE,FALSE,included
