study_id,id,ses,taskCondition,Condition,Salience,Direction,DirectionLabel,Trial,level,Change,Correct,Accuracy,Response,Arousal,Confidence,trial.started,trial.stopped
5,10018,ses1,lowSalienceAcc,breath,Low,Faster,Acc,10,0.335886454107531,-0.335886454107531,right,1,right,2,4,929.598146199947,942.840056099929
5,10018,ses1,highSalienceAcc,breath,High,Faster,Acc,10,0.185430840362163,-0.185430840362163,right,1,right,2,2,951.787951999926,966.347598199965
5,10018,ses1,highSalienceDec,breath,High,Slower,Dec,10,0.341608519750194,0.341608519750194,left,1,left,2,2,970.156370399985,988.920860599959
5,10018,ses2,lowSalienceAcc,breath,Low,NoChange,Acc,1,0.4,0,up,1,up,3,4,42.7072092000162,58.7356201000512
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,1,0.4,0.4,left,1,left,2,3,63.6649108000565,82.7818317000056
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,1,0.4,0.4,left,1,left,2,4,86.0999920000322,105.316634200048
5,10018,ses2,highSalienceAcc,breath,High,NoChange,Acc,1,0.4,0,up,0,right,2,3,108.37327900005,124.386543300003
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,2,0.290866253180461,0.290866253180461,left,1,left,2,2,126.878270199988,145.179351600003
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,2,0.290866253180461,0.290866253180461,left,1,left,2,2,149.048160000006,167.397399700014
5,10018,ses2,highSalienceAcc,breath,High,NoChange,Acc,2,0.660005903669501,0,up,1,up,2,4,170.303315800033,186.316809599986
5,10018,ses2,lowSalienceAcc,breath,Low,NoChange,Acc,2,0.290866253180461,0,up,1,up,2,2,190.925023499993,206.95466180006
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,3,0.194847947730885,0.194847947730885,left,1,left,2,1,210.900598700042,228.46507070004
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,3,0.581129104720385,-0.581129104720385,right,1,right,3,6,231.533344099997,242.908317300025
5,10018,ses2,lowSalienceAcc,breath,Low,Faster,Acc,3,0.194847947730885,-0.194847947730885,right,1,right,3,2,248.3367937,262.783673800062
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,3,0.194847947730885,0.194847947730885,left,1,left,2,4,267.074830600061,284.656241900055
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,4,0.525950164665448,-0.525950164665448,right,1,right,3,6,287.691193699953,299.500077100005
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,4,0.115692875109348,0.115692875109348,left,1,left,2,4,302.459501100006,319.40884170006
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,4,0.115692875109348,0.115692875109348,left,1,left,2,2,323.879654400051,340.825993799954
5,10018,ses2,lowSalienceAcc,breath,Low,NoChange,Acc,4,0.115692875109348,0,up,1,up,2,4,345.571923200041,361.585442199954
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,5,0.48362519319045,-0.48362519319045,right,1,right,3,5,365.941209199955,378.085773800034
5,10018,ses2,lowSalienceAcc,breath,Low,Faster,Acc,5,0.0425585301306027,-0.0425585301306027,right,0,up,3,3,382.322435099981,398.018050399958
5,10018,ses2,highSalienceDec,breath,High,NoChange,Dec,5,0.0425585301306027,0,up,1,up,2,3,402.160724999965,418.177057599998
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,5,0.0425585301306027,0.0425585301306027,left,1,left,2,1,421.528758500004,437.892461200012
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,6,0.447677540229846,-0.447677540229846,right,1,right,3,5,442.717384599964,455.160371599952
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,6,0.01,0.01,left,0,up,3,2,460.422648000065,476.536975600058
5,10018,ses2,lowSalienceAcc,breath,Low,NoChange,Acc,6,0.179695698126859,0,up,0,left,2,3,483.527806899976,499.555914300028
5,10018,ses2,lowSalienceDec,breath,Low,NoChange,Dec,6,0.01,0,up,1,up,2,3,515.313621900044,531.327051099972
5,10018,ses2,lowSalienceAcc,breath,Low,Faster,Acc,7,0.298968710006647,-0.298968710006647,right,1,right,2,4,534.329757699976,547.889200799982
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,7,0.109898413851188,0.109898413851188,left,1,left,2,4,551.032355900039,567.948126300005
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,7,0.01,0.01,left,0,right,2,1,570.851681699976,586.96767589997
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,7,0.414991024351223,-0.414991024351223,right,1,right,2,6,589.501637100009,602.211971599958
5,10018,ses2,highSalienceDec,breath,High,NoChange,Dec,8,0.0705466721556916,0,up,1,up,2,4,606.102931700065,622.132115900051
5,10018,ses2,highSalienceAcc,breath,High,NoChange,Acc,8,0.381344835676174,0,up,0,left,2,2,627.109098699992,643.125413200003
5,10018,ses2,lowSalienceAcc,breath,Low,Faster,Acc,8,0.254140996477974,-0.254140996477974,right,1,right,2,4,645.931610099971,659.87585750001
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,8,0.0669041118799965,0.0669041118799965,left,1,left,2,2,662.743983500055,679.307597000035
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,9,0.0367460711210665,0.0367460711210665,left,0,up,2,3,683.866080699954,700.195970900008
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,9,0.45668296757622,-0.45668296757622,right,1,right,3,6,704.920880699996,717.296981399995
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,9,0.0302071986878639,0.0302071986878639,left,1,left,2,2,720.673504400067,736.955294599989
5,10018,ses2,lowSalienceAcc,breath,Low,Faster,Acc,9,0.222037001454888,-0.222037001454888,right,1,right,2,3,740.240103599965,754.435169000062
5,10018,ses2,highSalienceAcc,breath,High,Faster,Acc,10,0.43498493142354,-0.43498493142354,right,1,right,2,4,758.911829399993,771.457635400002
5,10018,ses2,lowSalienceAcc,breath,Low,NoChange,Acc,10,0.19422054446127,0,up,1,up,2,3,774.697475700057,790.710811999976
5,10018,ses2,lowSalienceDec,breath,Low,Slower,Dec,10,0.01,0.01,left,0,up,2,3,794.818116300041,810.931698000059
5,10018,ses2,highSalienceDec,breath,High,Slower,Dec,10,0.109395529695042,0.109395529695042,left,1,left,2,3,814.718901199987,831.602648900007
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,1,0.4,-0.4,right,1,right,4,5,48.0288643999957,60.8512476002797
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,1,0.4,0.4,left,1,left,4,5,72.835470800288,92.0547986002639
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,1,0.4,0.4,left,0,up,5,6,102.211679400411,121.33009900013
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,1,0.4,-0.4,right,1,right,5,6,134.498793800361,147.144941800274
5,10075,ses1,highSalienceAcc,breath,High,Faster,Acc,2,0.290866253180461,-0.290866253180461,right,1,right,5,6,151.483577300329,165.196803200059
5,10075,ses1,lowSalienceDec,breath,Low,Slower,Dec,2,0.660005903669501,0.660005903669501,left,0,up,5,3,169.752846200019,190.756591100246
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,2,0.290866253180461,-0.290866253180461,right,1,right,5,3,200.600388600025,214.214116200339
5,10075,ses1,highSalienceDec,breath,High,Slower,Dec,2,0.290866253180461,0.290866253180461,left,1,left,5,4,220.066758900415,238.417818900198
5,10075,ses1,lowSalienceAcc,breath,Low,Faster,Acc,3,0.194847947730885,-0.194847947730885,right,0,up,4,4,243.774362800177,258.221176600084
