study_id,id,Group,Trial,Condition,Salience,Direction,TrialDirection,Level,Change,Accuracy,Confidence,Arousal,flag_zero_variance,exclusion_reason
4,10075,Breath,9,highSalienceAcc,High,NoChange,Faster,0.569861742,0,0,4,2,FALSE,included
4,10075,Breath,0,highSalienceDec,High,Slower,Slower,0.422912,0.422912,1,5,4,FALSE,included
4,10075,Breath,1,highSalienceDec,High,Slower,Slower,0.290866253,0.290866253,1,4,3,FALSE,included
4,10075,Breath,2,highSalienceDec,High,NoChange,Slower,0.194847948,0,1,4,3,FALSE,included
4,10075,Breath,3,highSalienceDec,High,Slower,Slower,0.115692875,0.115692875,0,4,3,FALSE,included
4,10075,Breath,4,highSalienceDec,High,Slower,Slower,0.254200718,0.254200718,0,4,3,FALSE,included
4,10075,Breath,5,highSalienceDec,High,Slower,Slower,0.380480619,0.380480619,1,4,3,FALSE,included
4,10075,Breath,6,highSalienceDec,High,Slower,Slower,0.32876206,0.32876206,1,4,3,FALSE,included
4,10075,Breath,7,highSalienceDec,High,Slower,Slower,0.293248617,0.293248617,0,3,3,FALSE,included
4,10075,Breath,8,highSalienceDec,High,Slower,Slower,0.368235194,0.368235194,0,4,3,FALSE,included
4,10075,Breath,9,highSalienceDec,High,Slower,Slower,0.445720185,0.445720185,0,4,3,FALSE,included
4,10075,Breath,0,lowSalienceAcc,Low,Faster,Faster,0.422912,-0.422912,1,5,3,FALSE,included
4,10075,Breath,1,lowSalienceAcc,Low,Faster,Faster,0.290866253,-0.290866253,0,4,4,FALSE,included
4,10075,Breath,2,lowSalienceAcc,Low,Faster,Faster,0.513886737,-0.513886737,1,6,3,FALSE,included
4,10075,Breath,3,lowSalienceAcc,Low,Faster,Faster,0.435497046,-0.435497046,1,5,3,FALSE,included
4,10075,Breath,4,lowSalienceAcc,Low,NoChange,Faster,0.384343212,0,1,4,3,FALSE,included
4,10075,Breath,5,lowSalienceAcc,Low,Faster,Faster,0.345862035,-0.345862035,0,3,3,FALSE,included
4,10075,Breath,6,lowSalienceAcc,Low,Faster,Faster,0.427640265,-0.427640265,1,3,3,FALSE,included
4,10075,Breath,7,lowSalienceAcc,Low,NoChange,Faster,0.397476628,0,1,3,3,FALSE,included
4,10075,Breath,8,lowSalienceAcc,Low,NoChange,Faster,0.375239952,0,1,3,3,FALSE,included
4,10075,Breath,9,lowSalienceAcc,Low,Faster,Faster,0.35654385,-0.35654385,0,2,3,FALSE,included
4,10075,Breath,0,lowSalienceDec,Low,Slower,Slower,0.422912,0.422912,0,2,2,FALSE,included
4,10075,Breath,1,lowSalienceDec,Low,Slower,Slower,0.660005904,0.660005904,1,3,2,FALSE,included
4,10075,Breath,2,lowSalienceDec,Low,NoChange,Slower,0.581129105,0,1,3,2,FALSE,included
4,10075,Breath,3,lowSalienceDec,Low,Slower,Slower,0.525950165,0.525950165,0,3,2,FALSE,included
4,10075,Breath,4,lowSalienceDec,Low,NoChange,Slower,0.647391869,0,1,2,2,FALSE,included
4,10075,Breath,5,lowSalienceDec,Low,Slower,Slower,0.605164543,0.605164543,1,3,3,FALSE,included
4,10075,Breath,6,lowSalienceDec,Low,Slower,Slower,0.573476467,0.573476467,0,3,3,FALSE,included
4,10075,Breath,7,lowSalienceDec,Low,Slower,Slower,0.631387881,0.631387881,0,3,3,FALSE,included
4,10075,Breath,8,lowSalienceDec,Low,Slower,Slower,0.711252326,0.711252326,0,3,3,FALSE,included
4,10075,Breath,9,lowSalienceDec,Low,Slower,Slower,0.796850002,0.796850002,1,3,3,FALSE,included
4,10093,Breath,0,highSalienceAcc,High,Faster,Faster,0.422912,-0.422912,1,4,5,FALSE,included
4,10093,Breath,1,highSalienceAcc,High,Faster,Faster,0.290866253,-0.290866253,1,5,5,FALSE,included
4,10093,Breath,2,highSalienceAcc,High,Faster,Faster,0.194847948,-0.194847948,0,5,5,FALSE,included
4,10093,Breath,3,highSalienceAcc,High,Faster,Faster,0.370126814,-0.370126814,1,5,5,FALSE,included
4,10093,Breath,4,highSalienceAcc,High,Faster,Faster,0.306922398,-0.306922398,1,5,5,FALSE,included
4,10093,Breath,5,highSalienceAcc,High,Faster,Faster,0.263654541,-0.263654541,0,4,4,FALSE,included
4,10093,Breath,6,highSalienceAcc,High,Faster,Faster,0.342972647,-0.342972647,1,3,4,FALSE,included
4,10093,Breath,7,highSalienceAcc,High,Faster,Faster,0.30935329,-0.30935329,0,4,4,FALSE,included
4,10093,Breath,8,highSalienceAcc,High,Faster,Faster,0.374020967,-0.374020967,1,4,4,FALSE,included
4,10093,Breath,9,highSalienceAcc,High,Faster,Faster,0.341938141,-0.341938141,1,4,4,FALSE,included
4,10093,Breath,0,highSalienceDec,High,Slower,Slower,0.422912,0.422912,1,5,4,FALSE,included
4,10093,Breath,1,highSalienceDec,High,Slower,Slower,0.290866253,0.290866253,1,5,4,FALSE,included
4,10093,Breath,2,highSalienceDec,High,Slower,Slower,0.194847948,0.194847948,0,6,4,FALSE,included
4,10093,Breath,3,highSalienceDec,High,Slower,Slower,0.370126814,0.370126814,1,3,4,FALSE,included
4,10093,Breath,4,highSalienceDec,High,NoChange,Slower,0.306922398,0,1,5,4,FALSE,included
4,10093,Breath,5,highSalienceDec,High,Slower,Slower,0.263654541,0.263654541,1,5,3,FALSE,included
4,10093,Breath,6,highSalienceDec,High,Slower,Slower,0.228700435,0.228700435,1,4,3,FALSE,included
4,10093,Breath,7,highSalienceDec,High,Slower,Slower,0.201074681,0.201074681,1,3,3,FALSE,included
4,10093,Breath,8,highSalienceDec,High,Slower,Slower,0.17498379,0.17498379,0,4,3,FALSE,included
4,10093,Breath,9,highSalienceDec,High,Slower,Slower,0.227272779,0.227272779,1,3,3,FALSE,included
4,10093,Breath,0,lowSalienceDec,Low,Slower,Slower,0.422912,0.422912,1,4,3,FALSE,included
4,10093,Breath,1,lowSalienceDec,Low,Slower,Slower,0.290866253,0.290866253,0,5,3,FALSE,included
4,10093,Breath,2,lowSalienceDec,Low,Slower,Slower,0.513886737,0.513886737,0,4,3,FALSE,included
4,10093,Breath,3,lowSalienceDec,Low,NoChange,Slower,0.695548754,0,1,4,3,FALSE,included
4,10093,Breath,4,lowSalienceDec,Low,NoChange,Slower,0.627749276,0,1,4,3,FALSE,included
4,10093,Breath,5,lowSalienceDec,Low,NoChange,Slower,0.580157228,0,0,2,2,FALSE,included
4,10093,Breath,6,lowSalienceDec,Low,NoChange,Slower,0.686316216,0,1,4,2,FALSE,included
4,10093,Breath,7,lowSalienceDec,Low,Slower,Slower,0.647741168,0.647741168,1,4,2,FALSE,included
4,10093,Breath,8,lowSalienceDec,Low,Slower,Slower,0.61961559,0.61961559,1,4,2,FALSE,included
4,10093,Breath,9,lowSalienceDec,Low,Slower,Slower,0.594023966,0.594023966,1,2,2,FALSE,included
4,10093,Breath,0,lowSalienceAcc,Low,Faster,Faster,0.422912,-0.422912,1,5,2,FALSE,included
4,10093,Breath,1,lowSalienceAcc,Low,Faster,Faster,0.290866253,-0.290866253,1,4,2,FALSE,included
4,10093,Breath,2,lowSalienceAcc,Low,Faster,Faster,0.194847948,-0.194847948,0,5,2,FALSE,included
4,10093,Breath,3,lowSalienceAcc,Low,Faster,Faster,0.370126814,-0.370126814,1,2,2,FALSE,included
4,10093,Breath,4,lowSalienceAcc,Low,Faster,Faster,0.306922398,-0.306922398,0,5,2,FALSE,included
