id,arousal_sd_s1,n_s1_trials,mean_acc_s1,flag_pilot,flag_test_entry,flag_zero_arousal,flag_near_chance,flag_zero_arousal_detected,excluded,exclusion_reason
7495,1.2585604311968333,40,0.47058823529411764,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
7573,0.4522025867763026,40,0.6363636363636364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
7957,1.604480904953055,40,0.6923076923076923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
7972,0.7156671622894871,40,0.7096774193548387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
8026,1.061868213369297,40,0.6176470588235294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
8236,0.4266746794119403,40,0.6428571428571429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
8671,0.5991446895152781,40,0.7931034482758621,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9076,1.1322770341445958,40,0.7878787878787878,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9154,0.8770580193070292,40,0.48717948717948717,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9238,0.8101914936669333,40,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9247,0.6076436202502,40,0.8333333333333334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9334,0.4385290096535146,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9361,1.4030644117750772,40,0.5588235294117647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9553,0.3616202853397895,40,0.30303030303030304,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,near_chance_accuracy_spamming
9601,0.873762861685903,40,0.7419354838709677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9757,1.1940021045379383,40,0.6666666666666666,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9811,0.6405126152203485,40,0.6428571428571429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9820,0.9323254631461962,40,0.8157894736842105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9892,1.281025230440697,40,0.5806451612903226,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9961,0.8285761652005575,40,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9967,0.7844645405527362,40,0.71875,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9976,0.49354811679282456,40,0.7857142857142857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,included
9982,0,40,0.6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,zero_variance_arousal
